Date,Open,High,Low,Close,Volume
12/31/24, 138.03, 138.07, 133.83, 134.29, 155659203
12/30/24, 134.83, 140.27, 134.02, 137.49, 167734703
12/27/24, 138.55, 139.02, 134.71, 137.01, 170582594
12/26/24, 139.70, 140.85, 137.73, 139.93, 116519102
12/24/24, 140.00, 141.90, 138.65, 140.22, 105157000
12/23/24, 136.28, 139.79, 135.1201, 139.67, 176053500
12/20/24, 129.81, 135.28, 128.22, 134.70, 306528594
12/19/24, 131.76, 134.03, 129.55, 130.68, 209719203
12/18/24, 133.86, 136.70, 128.28, 128.91, 277444500
12/17/24, 129.09, 131.59, 126.86, 130.39, 259410297
12/16/24, 134.18, 134.40, 130.42, 132.00, 237951109
12/13/24, 138.94, 139.60, 132.54, 134.25, 231514891
12/12/24, 137.08, 138.44, 135.80, 137.34, 159211391
12/11/24, 137.36, 140.17, 135.21, 139.31, 184905203
12/10/24, 139.01, 141.82, 133.79, 135.07, 210020891
12/09/24, 138.97, 139.95, 137.13, 138.81, 189308609
12/06/24, 144.60, 145.70, 141.31, 142.44, 188505594
12/05/24, 145.11, 146.54, 143.95, 145.06, 172621203
12/04/24, 141.995, 145.79, 140.29, 145.14, 231224297
12/03/24, 138.26, 140.54, 137.95, 140.26, 164414000
12/02/24, 138.83, 140.45, 137.825, 138.63, 171682797
11/29/24, 136.78, 139.35, 136.05, 138.25, 141863203
11/27/24, 135.01, 137.22, 131.80, 135.34, 226370891
11/26/24, 137.70, 139.30, 135.67, 136.92, 190287703
11/25/24, 141.99, 142.05, 135.82, 136.02, 344941875
11/22/24, 145.93, 147.16, 141.10, 141.95, 236406203
11/21/24, 149.35, 152.89, 140.70, 146.67, 400946594
11/20/24, 147.41, 147.56, 142.73, 145.89, 309871719
11/19/24, 141.32, 147.13, 140.99, 147.01, 227834891
11/18/24, 139.50, 141.55, 137.15, 140.15, 221866000
11/15/24, 144.87, 145.24, 140.08, 141.98, 250132891
11/14/24, 147.64, 149.00, 145.55, 146.76, 194463297
11/13/24, 149.07, 149.33, 145.90, 146.27, 191903297
11/12/24, 146.78, 149.65, 146.01, 148.29, 198634703
11/11/24, 148.68, 148.85, 143.57, 145.26, 182325594
11/08/24, 148.77, 149.77, 146.26, 147.63, 175665797
11/07/24, 146.39, 148.93, 146.17, 148.88, 207323297
11/06/24, 142.96, 146.49, 141.96, 145.61, 242043906
11/05/24, 137.45, 140.3701, 137.33, 139.91, 160537406
11/04/24, 137.21, 138.96, 135.57, 136.05, 187528188
11/01/24, 134.70, 137.31, 134.57, 135.40, 207127812
10/31/24, 137.60, 137.61, 132.1106, 132.76, 270039625
10/30/24, 139.54, 140.33, 136.81, 139.335, 179418094
10/29/24, 140.285, 142.2598, 138.90, 141.25, 157593594
10/28/24, 143.00, 143.14, 140.05, 140.52, 173586703
10/25/24, 140.93, 144.13, 140.80, 141.54, 205122094
10/24/24, 140.82, 141.35, 138.46, 140.41, 172354891
10/23/24, 142.03, 142.43, 137.46, 139.56, 285929969
10/22/24, 142.91, 144.42, 141.78, 143.59, 226311594
10/21/24, 138.13, 143.71, 138.00, 143.71, 264554500
10/18/24, 138.665, 138.90, 137.28, 138.00, 176090203
10/17/24, 139.34, 140.89, 136.87, 136.93, 306435906
10/16/24, 133.98, 136.62, 131.58, 135.72, 264879688
10/15/24, 137.87, 138.57, 128.74, 131.60, 377831000
10/14/24, 136.47, 139.60, 136.30, 138.07, 232347703
10/11/24, 134.01, 135.78, 133.66, 134.80, 170209500
10/10/24, 131.91, 135.00, 131.00, 134.81, 242311297
10/09/24, 134.11, 134.52, 131.38, 132.65, 246191594
10/08/24, 130.26, 133.48, 129.42, 132.89, 285722500
10/07/24, 124.99, 130.64, 124.95, 127.72, 346250219
10/04/24, 124.94, 125.04, 121.83, 124.92, 244465594
10/03/24, 120.92, 124.36, 120.3401, 122.85, 277118031
10/02/24, 116.44, 119.38, 115.14, 118.85, 221845906
10/01/24, 121.765, 122.4351, 115.79, 117.00, 302094500
09/30/24, 118.31, 121.50, 118.15, 121.44, 227053703
09/27/24, 123.97, 124.03, 119.26, 121.40, 271009219
09/26/24, 126.80, 127.665, 121.80, 124.04, 302582906
09/25/24, 122.02, 124.94, 121.61, 123.51, 284692906
09/24/24, 116.515, 121.80, 115.38, 120.87, 354966781
09/23/24, 116.55, 116.99, 114.86, 116.26, 206228500
09/20/24, 117.06, 118.6181, 115.3901, 116.00, 382462406
09/19/24, 117.35, 119.66, 117.25, 117.87, 293506406
09/18/24, 115.89, 117.70, 113.22, 113.37, 310318906
09/17/24, 118.17, 118.80, 114.83, 115.59, 231925906
09/16/24, 116.79, 118.18, 114.36, 116.78, 248772297
09/13/24, 119.08, 119.955, 117.60, 119.10, 238358297
09/12/24, 116.84, 120.79, 115.38, 119.14, 367100500
09/11/24, 109.39, 117.19, 107.42, 116.91, 441422406
09/10/24, 107.81, 109.40, 104.95, 108.10, 268283688
09/09/24, 104.88, 106.55, 103.69, 106.47, 273912000
09/06/24, 108.04, 108.15, 100.95, 102.83, 413638125
09/05/24, 104.985, 109.65, 104.76, 107.21, 306850688
09/04/24, 105.41, 113.27, 104.12, 106.21, 372470312
09/03/24, 116.01, 116.21, 107.29, 108.00, 474972000
08/30/24, 119.53, 121.75, 117.22, 119.37, 333751625
08/29/24, 121.355, 124.43, 116.71, 117.59, 453023281
08/28/24, 128.12, 128.33, 122.64, 125.61, 448101094
08/27/24, 125.05, 129.20, 123.88, 128.30, 303134594
08/26/24, 129.57, 131.26, 124.37, 126.46, 331964719
08/23/24, 125.86, 129.60, 125.22, 129.37, 323230312
08/22/24, 130.02, 130.75, 123.10, 123.74, 376189094
08/21/24, 127.315, 129.35, 126.66, 128.50, 257883594
08/20/24, 128.40, 129.88, 125.89, 127.25, 300087406
08/19/24, 124.28, 130.00, 123.42, 130.00, 318333594
08/16/24, 121.94, 125.00, 121.18, 124.58, 302589875
08/15/24, 118.76, 123.24, 117.47, 122.86, 318086688
08/14/24, 118.53, 118.60, 114.07, 118.08, 339246406
08/13/24, 112.44, 116.23, 111.58, 116.14, 312646688
08/12/24, 106.32, 111.07, 106.26, 109.02, 325559906
08/09/24, 105.64, 106.60, 103.43, 104.75, 290844188
08/08/24, 102.00, 105.50, 97.52, 104.97, 391910031
08/07/24, 107.81, 108.80, 98.69, 98.91, 411440375
08/06/24, 103.84, 107.71, 100.55, 104.25, 409012094
08/05/24, 92.06, 103.41, 90.69, 100.45, 552842375
08/02/24, 103.76, 108.72, 101.37, 107.27, 482027500
08/01/24, 117.53, 120.16, 106.8104, 109.21, 523462312
07/31/24, 112.90, 118.34, 110.88, 117.02, 473174219
07/30/24, 111.52, 111.99, 102.54, 103.73, 486833312
07/29/24, 113.69, 116.28, 111.30, 111.59, 248152094
07/26/24, 116.19, 116.20, 111.58, 113.06, 293399094
07/25/24, 113.04, 116.63, 106.30, 112.28, 460067000
07/24/24, 119.17, 119.95, 113.44, 114.25, 327776906
07/23/24, 122.78, 124.69, 122.10, 122.59, 173911016
07/22/24, 120.35, 124.07, 119.86, 123.54, 258068891
07/19/24, 120.35, 121.60, 117.37, 117.93, 217223812
07/18/24, 121.85, 122.40, 116.56, 121.09, 320979500
07/17/24, 121.35, 121.85, 116.72, 117.99, 390086219
07/16/24, 128.44, 129.04, 124.58, 126.36, 214769500
07/15/24, 130.56, 131.39, 127.18, 128.44, 208326203
07/12/24, 128.26, 131.92, 127.22, 129.24, 252680500
07/11/24, 135.75, 136.15, 127.05, 127.40, 374782688
07/10/24, 134.03, 135.10, 132.42, 134.91, 248978594
07/09/24, 130.35, 133.82, 128.65, 131.38, 287020812
07/08/24, 127.49, 130.77, 127.04, 128.20, 237677297
07/05/24, 127.38, 128.85, 125.68, 125.83, 214176703
07/03/24, 121.66, 128.28, 121.36, 128.28, 215748984
07/02/24, 121.13, 123.41, 121.03, 122.67, 218374000
07/01/24, 123.47, 124.84, 118.83, 124.30, 284885500
06/28/24, 124.58, 127.71, 122.75, 123.54, 315516719
06/27/24, 124.10, 126.41, 122.92, 123.99, 252571703
06/26/24, 126.13, 128.12, 122.60, 126.40, 362975906
06/25/24, 121.20, 126.50, 119.32, 126.09, 425787500
06/24/24, 123.24, 124.46, 118.04, 118.11, 476060906
06/21/24, 127.12, 130.63, 124.30, 126.57, 655484688
06/20/24, 139.80, 140.76, 129.52, 130.78, 517768375
06/18/24, 131.14, 136.33, 130.69, 135.58, 294335094
06/17/24, 132.99, 133.73, 129.58, 130.98, 288504375
06/14/24, 129.96, 132.84, 128.32, 131.88, 309320375
06/13/24, 129.39, 129.80, 127.16, 129.61, 260704500
06/12/24, 123.06, 126.88, 122.57, 125.20, 299595000
06/11/24, 121.77, 122.87, 118.74, 120.91, 222551203
06/10/24, 120.37, 123.10, 117.01, 121.79, 314162688
06/07/24, 119.77, 121.6917, 118.022, 120.888, 412385775.876142
06/06/24, 124.048, 125.587, 118.32, 120.998, 664696163.353038
06/05/24, 118.371, 122.4495, 117.468, 122.44, 528401794.715982
06/04/24, 115.716, 116.60, 114.045, 116.437, 403323975.96676
06/03/24, 113.621, 115.00, 112.003, 115.00, 438391795.616082
05/31/24, 112.52, 112.717, 106.94, 109.633, 613262453.867376
05/30/24, 114.65, 115.8192, 109.663, 110.50, 487350305.126497
05/29/24, 113.05, 115.492, 110.901, 114.825, 557441904.425581
05/28/24, 110.244, 114.939, 109.883, 113.901, 652727963.47272
05/24/24, 104.449, 106.475, 103.00, 106.469, 429493665.705063
05/23/24, 102.028, 106.32, 101.52, 103.799, 835065301.649347
05/22/24, 95.459, 96.02, 93.249, 94.95, 548648004.51352
05/21/24, 93.599, 95.40, 93.18, 95.386, 328946476.710535
05/20/24, 93.75, 95.20, 93.44, 94.78, 318764466.812355
05/17/24, 94.369, 94.74, 91.806, 92.479, 359691016.40309
05/16/24, 94.91, 95.819, 94.103, 94.359, 323951816.760482
05/15/24, 92.472, 94.862, 91.599, 94.63, 417735505.822645
05/14/24, 89.599, 91.651, 88.934, 91.356, 296507107.034929
05/13/24, 90.478, 90.998, 88.529, 90.399, 289680197.103198
05/10/24, 90.3045, 91.401, 89.227, 89.878, 335325426.646746
05/09/24, 90.529, 91.072, 88.231, 88.747, 378012726.219873
05/08/24, 89.4825, 91.194, 89.42, 90.412, 325720996.74279
05/07/24, 91.098, 91.781, 89.011, 90.554, 437341595.626584
05/06/24, 89.39, 92.22, 89.055, 92.14, 376202616.237974
05/03/24, 87.789, 89.281, 87.04, 88.789, 398340696.016593
05/02/24, 84.449, 86.237, 83.20, 85.817, 377897536.221025
05/01/24, 85.077, 86.00, 81.2546, 83.041, 559863154.401368
04/30/24, 87.24, 88.819, 86.30, 86.402, 363708706.362913
04/29/24, 87.595, 87.992, 85.266, 87.757, 388970776.110292
04/26/24, 83.818, 88.3309, 83.387, 87.735, 551010854.489891
04/25/24, 78.868, 83.323, 78.223, 82.632, 424640695.753593
04/24/24, 83.95, 84.082, 79.183, 79.677, 512207534.877925
04/23/24, 80.769, 82.769, 80.264, 82.423, 438559405.614406
04/22/24, 78.104, 80.073, 76.40, 79.518, 596340464.036595
04/19/24, 83.15, 84.324, 75.606, 76.20, 875197961.24802
04/18/24, 84.97, 86.19, 82.402, 84.671, 447260305.527397
04/17/24, 88.34, 88.775, 83.95, 84.035, 495399525.046005
04/16/24, 86.4325, 88.118, 86.0639, 87.415, 370453006.29547
04/15/24, 89.098, 90.613, 85.929, 86.001, 443076985.56923
04/12/24, 89.699, 90.175, 87.53, 88.186, 426804795.731952
04/11/24, 87.42, 90.739, 86.926, 90.616, 431637265.683627
04/10/24, 83.926, 87.40, 83.709, 87.039, 431928475.680715
04/09/24, 87.442, 87.635, 83.022, 85.354, 503547374.964526
04/08/24, 88.70, 88.83, 86.732, 87.133, 283219997.1678
04/05/24, 86.866, 88.481, 85.926, 88.008, 399678476.003215
04/04/24, 90.406, 90.634, 85.88, 85.905, 434964875.650351
04/03/24, 88.484, 90.374, 88.40, 88.964, 370066596.299334
04/02/24, 88.448, 90.094, 87.62, 89.452, 433063585.669364
04/01/24, 90.299, 92.225, 89.204, 90.363, 452441515.475585
03/28/24, 90.00, 91.30, 89.193, 90.356, 435212295.647877
03/27/24, 93.112, 93.24, 89.123, 90.25, 586067184.139328
03/26/24, 95.851, 96.375, 92.502, 92.561, 513647614.863524
03/25/24, 93.941, 96.766, 93.51, 95.002, 552136084.478639
03/22/24, 91.141, 94.778, 90.834, 94.289, 586719374.132806
03/21/24, 92.30, 92.648, 90.405, 91.435, 480372295.196277
03/20/24, 89.797, 90.41, 88.223, 90.372, 479062805.209372
03/19/24, 86.70, 90.544, 85.01, 89.398, 672171243.278288
03/18/24, 90.388, 92.405, 87.085, 88.455, 668975933.310241
03/15/24, 86.93, 89.546, 86.257, 87.8365, 642086203.579138
03/14/24, 89.577, 90.646, 86.60, 87.944, 602318193.976818
03/13/24, 91.055, 91.504, 88.435, 90.888, 635712923.642871
03/12/24, 88.049, 91.96, 86.1501, 91.913, 668075223.319248
03/11/24, 86.429, 88.797, 84.166, 85.774, 678364053.21636
03/08/24, 95.1379, 97.40, 86.506, 87.528, 1142268968.57731
03/07/24, 90.158, 92.767, 89.602, 92.669, 608119133.918809
03/06/24, 88.022, 89.724, 87.03, 88.70, 582520304.174797
03/05/24, 85.27, 86.097, 83.417, 85.964, 520639294.793607
03/04/24, 84.13, 87.695, 83.719, 85.237, 615616443.843836
03/01/24, 80.00, 82.30, 79.435, 82.279, 479135115.208649
02/29/24, 79.094, 79.99, 78.35, 79.112, 507288974.92711
02/28/24, 77.62, 78.933, 77.125, 77.663, 393110386.068896
02/27/24, 79.381, 79.48, 77.162, 78.701, 391705196.082948
02/26/24, 79.70, 80.646, 78.505, 79.092, 503972724.960273
02/23/24, 80.79, 82.394, 77.57, 78.817, 829388431.706116
02/22/24, 75.025, 78.575, 74.22, 78.538, 865099681.349003
02/21/24, 68.006, 68.888, 66.248, 67.472, 690298043.09702
02/20/24, 71.947, 71.956, 67.734, 69.452, 704833112.951669
02/16/24, 74.10, 74.402, 72.501, 72.613, 495326595.046734
02/15/24, 73.869, 73.975, 72.40, 72.658, 420121795.798782
02/14/24, 73.202, 74.236, 71.938, 73.90, 504917374.950826
02/13/24, 70.40, 73.45, 69.62, 72.128, 602580153.974198
02/12/24, 72.60, 74.611, 71.25, 72.248, 613710193.862898
02/09/24, 70.533, 72.185, 70.212, 72.133, 436636875.633631
02/08/24, 70.074, 70.794, 69.455, 69.641, 414422065.855779
02/07/24, 68.319, 70.22, 67.60, 70.099, 495574605.044254
02/06/24, 69.63, 69.754, 66.30, 68.223, 683111323.168887
02/05/24, 68.225, 69.497, 67.205, 69.332, 680077963.19922
02/02/24, 63.974, 66.60, 63.69, 66.16, 476577695.234223
02/01/24, 62.10, 63.191, 61.65, 63.027, 369145776.308542
01/31/24, 61.44, 62.269, 60.70, 61.527, 453794875.462051
01/30/24, 62.90, 63.493, 62.26, 62.774, 410735265.892647
01/29/24, 61.232, 62.489, 60.907, 62.465, 348733006.51267
01/26/24, 60.96, 61.783, 60.573, 61.031, 390308586.096914
01/25/24, 62.35, 62.719, 60.85, 61.617, 482776795.172232
01/24/24, 60.304, 62.849, 59.938, 61.362, 560270774.397292
01/23/24, 59.57, 59.91, 58.585, 59.873, 294654487.053455
01/22/24, 60.049, 60.331, 59.07, 59.654, 452954605.470454
01/19/24, 57.989, 59.50, 57.225, 59.491, 543501514.564985
01/18/24, 57.26, 57.60, 56.107, 57.107, 491650385.083496
01/17/24, 56.347, 56.4707, 54.74, 56.053, 474394405.256056
01/16/24, 55.018, 56.835, 54.90, 56.382, 449579685.504203
01/12/24, 54.62, 54.97, 54.3301, 54.71, 352993586.470064
01/11/24, 54.999, 55.346, 53.56, 54.822, 596758784.032412
01/10/24, 53.616, 54.60, 53.489, 54.35, 533795774.662042
01/09/24, 52.401, 54.325, 51.69, 53.14, 773100072.268999
01/08/24, 49.512, 52.275, 49.479, 52.253, 642509873.574901
01/05/24, 48.462, 49.547, 48.306, 49.097, 415039295.849607
01/04/24, 47.767, 48.50, 47.508, 47.998, 306534876.934651
01/03/24, 47.485, 48.1841, 47.32, 47.569, 320896186.791038
01/02/24, 49.244, 49.295, 47.595, 48.168, 411254215.887458